seq.sample.id,species,colony.id,treatment,file.prefix
RBAMS01,Acropora.abrotanoides,c033,control,RBAMS01_UMI_S1
RBAMS02,Acropora.abrotanoides,c033,heat,RBAMS02_UMI_S6
RBAMS03,Acropora.abrotanoides,c075,control,RBAMS03_UMI_S7
RBAMS04,Acropora.abrotanoides,c075,heat,RBAMS04_UMI_S8
RBAMS05,Acropora.abrotanoides,c076,control,RBAMS05_UMI_S9
RBAMS06,Acropora.abrotanoides,c076,heat,RBAMS06_UMI_S2
RBAMS07,Acropora.abrotanoides,c077,control,RBAMS07_UMI_S10
RBAMS08,Acropora.abrotanoides,c077,heat,RBAMS08_UMI_S11
RBAMS09,Acropora.abrotanoides,c078,control,RBAMS09_UMI_S3
RBAMS10,Acropora.abrotanoides,c078,heat,RBAMS10_UMI_S12
RBAMS11,Acropora.hyacinthus,c011,control,RBAMS11_UMI_S13
RBAMS12,Acropora.hyacinthus,c011,heat,RBAMS12_UMI_S72
RBAMS13,Acropora.hyacinthus,c017,control,RBAMS13_UMI_S14
RBAMS14,Acropora.hyacinthus,c017,heat,RBAMS14_UMI_S15
RBAMS15,Acropora.hyacinthus,c018,control,RBAMS15_UMI_S16
RBAMS16,Acropora.hyacinthus,c018,heat,RBAMS16_UMI_S17
RBAMS17,Acropora.hyacinthus,c038,control,RBAMS17_UMI_S74
RBAMS18,Acropora.hyacinthus,c038,heat,RBAMS18_UMI_S18
RBAMS19,Acropora.hyacinthus,c051,control,RBAMS19_UMI_S19
RBAMS20,Acropora.hyacinthus,c051,heat,RBAMS20_UMI_S20
RBAMS21,Acropora.lutkeni,c047,control,RBAMS21_UMI_S21
RBAMS22,Acropora.lutkeni,c047,heat,RBAMS22_UMI_S22
RBAMS23,Acropora.lutkeni,c196,control,RBAMS23_UMI_S23
RBAMS24,Acropora.lutkeni,c196,heat,RBAMS24_UMI_S24
RBAMS25,Acropora.lutkeni,c210,control,RBAMS25_UMI_S71
RBAMS26,Acropora.lutkeni,c210,heat,RBAMS26_UMI_S25
RBAMS27,Acropora.pulchra,c004,control,RBAMS27_UMI_S4
RBAMS28,Acropora.pulchra,c004,heat,RBAMS28_UMI_S26
RBAMS29,Acropora.pulchra,c007,control,RBAMS29_UMI_S27
RBAMS30,Acropora.pulchra,c007,heat,RBAMS30_UMI_S28
RBAMS31,Acropora.pulchra,c013,control,RBAMS31_UMI_S29
RBAMS32,Acropora.pulchra,c013,heat,RBAMS32_UMI_S30
RBAMS33,Acropora.pulchra,c016,control,RBAMS33_UMI_S31
RBAMS34,Acropora.pulchra,c016,heat,RBAMS34_UMI_S32
RBAMS35,Acropora.retusa,c030,control,RBAMS35_UMI_S75
RBAMS36,Acropora.retusa,c030,heat,RBAMS36_UMI_S33
RBAMS37,Acropora.retusa,c032,control,RBAMS37_UMI_S34
RBAMS38,Acropora.retusa,c032,heat,RBAMS38_UMI_S76
RBAMS39,Acropora.retusa,c040,control,RBAMS39_UMI_S35
RBAMS40,Acropora.retusa,c040,heat,RBAMS40_UMI_S36
RBAMS41,Acropora.retusa,c094,control,RBAMS41_UMI_S37
RBAMS42,Acropora.retusa,c094,heat,RBAMS42_UMI_S38
RBAMS45,Acropora.robusta,c090,control,RBAMS45_UMI_S41
RBAMS46,Acropora.robusta,c090,heat,RBAMS46_UMI_S73
RBAMS47,Acropora.robusta,c123,control,RBAMS47_UMI_S42
RBAMS48,Acropora.robusta,c123,heat,RBAMS48_UMI_S43
RBAMS49,Acropora.robusta,c167,control,RBAMS49_UMI_S44
RBAMS50,Acropora.robusta,c167,heat,RBAMS50_UMI_S45
RBAMS51,Acropora.robusta,c211,control,RBAMS51_UMI_S46
RBAMS52,Acropora.robusta,c211,heat,RBAMS52_UMI_S47
RBAMS53,Acropora.tutuilensis,c014,control,RBAMS53_UMI_S48
RBAMS54,Acropora.tutuilensis,c014,heat,RBAMS54_UMI_S49
RBAMS55,Acropora.tutuilensis,c024,control,RBAMS55_UMI_S50
RBAMS56,Acropora.tutuilensis,c024,heat,RBAMS56_UMI_S51
RBAMS57,Acropora.tutuilensis,c066,control,RBAMS57_UMI_S52
RBAMS58,Acropora.tutuilensis,c066,heat,RBAMS58_UMI_S53
RBAMS59,Acropora.tutuilensis,c071,control,RBAMS59_UMI_S54
RBAMS60,Acropora.tutuilensis,c071,heat,RBAMS60_UMI_S55
RBAMS61,Acropora.tutuilensis,c122,control,RBAMS61_UMI_S56
RBAMS62,Acropora.tutuilensis,c122,heat,RBAMS62_UMI_S57
RBAMS63,Acropora.tutuilensis,c137,control,RBAMS63_UMI_S58
RBAMS64,Acropora.tutuilensis,c137,heat,RBAMS64_UMI_S59
RBAMS65,Acropora.tutuilensis,c164,control,RBAMS65_UMI_S60
RBAMS66,Acropora.tutuilensis,c164,heat,RBAMS66_UMI_S61
RBAMS67,Acropora.unknown,c037,control,RBAMS67_UMI_S62
RBAMS68,Acropora.unknown,c037,heat,RBAMS68_UMI_S63
RBAMS69,Acropora.unknown,c012,control,RBAMS69_UMI_S64
RBAMS70,Acropora.unknown,c012,heat,RBAMS70_UMI_S65
RBAMS73,Acropora.unknown,c120,control,RBAMS73_UMI_S68
RBAMS74,Acropora.unknown,c120,heat,RBAMS74_UMI_S69
RBAMS75,Acropora.pulchra,c009,control,RBAMS75_UMI_S5
RBAMS76,Acropora.pulchra,c009,heat,RBAMS76_UMI_S70